N-gramm,Count
strikes,21
unhappy,21
stones,21
lychorida,21
according,21
steel,21
belike,21
methought,21
draws,21
shadow,21
cat,21
invisible,21
tear,21
wake,21
fearful,21
sail,21
wont,21
seest,21
spite,21
dote,21
cries,21
parson,20
yellow,20
displeasure,20
crow,20
florence,20
buried,20
clerk,20
witch,20
reverend,20
lawful,20
constable,20
intent,20
trade,20
sees,20
ships,20
babe,20
thrown,20
defend,20
grieve,20
hanged,20
powers,20
tame,20
stol'n,20
disposition,20
salt,20
fears,20
bird,20
younger,20
wrack,20
garter,20
graces,20
feet,20
struck,20
tall,20
wants,20
meant,20
empty,20
solemn,20
few,20
equal,20
envy,20
cave,20
ancient,20
horses,20
miss,20
tedious,20
hereafter,20
minute,20
condemn,20
despite,20
bade,20
liest,20
rascal,20
brothers,20
pen,20
creep,20
fairer,20
trial,20
debt,19
discretion,19
instance,19
crave,19
sleeping,19
quit,19
custom,19
condition,19
abroad,19
cure,19
fury,19
blush,19
title,19
leaves,19
infinite,19
abide,19
cost,19
plead,19
lovely,19
betwixt,19
twelve,19
crack,19
ripe,19
sign,19
value,19
favours,19
angel,19
steward,19
leonatus,19
yourselves,19
utter,19
frame,19
—to,19
'',19
brains,19
avoid,19
savage,19
disdain,19
weather,19
continue,19
places,19
special,19
employ,19
sounds,19
hey,19
library,19
flies,19
philostrate,19
cover,19
offended,19
subjects,19
treason,19
bind,19
window,19
pair,19
swords,19
dian,19
pursue,19
hie,19
firm,19
expect,19
swain,19
lying,19
waters,19
speaking,19
dares,19
leg,19
particular,18
lo,18
drowned,18
nought,18
yond,18
add,18
sacred,18
pleasant,18
forswear,18
conceit,18
deceived,18
sway,18
university,18
wrath,18
camp,18
instrument,18
swears,18
necessity,18
slain,18
oak,18
sicilia,18
afeard,18
—and,18
odd,18
gait,18
humbly,18
strain,18
appointed,18
stain,18
obedient,18
dumb,18
moral,18
spake,18
devils,18
vengeance,18
monstrous,18
goddess,18
darkness,18
tomb,18
degree,18
morocco,18
learning,18
aim,18
whisper,18
strive,18
durst,18
carried,18
minds,18
killed,18
ink,18
liking,18
calchas,18
luck,18
cease,18
snout,18
absent,18
sentence,18
early,18
charm,18
greatest,18
key,18
ends,18
worn,18
goose,18
minister,18
griefs,18
fox,18
contents,18
cesario,18
success,18
breed,18
falsehood,17
bush,17
rule,17
rank,17
shines,17
jack,17
memory,17
hangs,17
qualities,17
guess,17
stronger,17
fate,17
cheeks,17
loath,17
rail,17
tribute,17
athenian,17
affections,17
sudden,17
top,17
elder,17
oxford,17
physic,17
thrive,17
armed,17
bravely,17
grown,17
dreadful,17
w.j,17
voyage,17
roar,17
rome,17
assurance,17
plays,17
earnest,17
deadly,17
craig,17
bare,17
princely,17
weight,17
caught,17
m.a,17
glossary,17
sicilius,17
hose,17
dine,17
kinsman,17
online,17
unicode,17
.txt,17
partly,17
version,17
passes,17
mike,17
kindly,17
afraid,17
scott,17
tricks,17
conclusion,17
``,17
imagination,17
dat,17
barren,17
ed,17
object,17
post,17
la,17
sleeve,17
sack,17
recompense,17
london,17
parting,17
onenineonesix,17
receiv,17
),17
week,17
passing,17
higher,17
heed,17
sky,17
attended,17
devise,17
safety,17
friendship,17
flout,17
wink,17
reverence,17
rise,17
--,17
sides,17
except,17
greece,17
andromache,17
faces,17
dust,17
attempt,17
number,16
kin,16
wishes,16
invention,16
dreams,16
apart,16
laws,16
guest,16
'the,16
commanded,16
join,16
knife,16
below,16
taking,16
mov,16
isle,16
access,16
curio,16
lands,16
storm,16
notes,16
'twas,16
prayer,16
dwell,16
promis,16
aid,16
whipped,16
conduct,16
discharge,16
wretch,16
army,16
mountain,16
behaviour,16
amends,16
bite,16
recover,16
alter,16
malice,16
drops,16
quality,16
repair,16
senseless,16
undo,16
plot,16
runs,16
tread,16
satisfy,16
commission,16
battle,16
scurvy,16
laughter,16
enjoy,16
dion,16
shine,16
finds,16
refuse,16
teeth,16
supper,16
everything,16
prologue,16
standing,16
bend,16
judas,16
unworthy,16
lean,16
&,16
coat,16
hardly,16
topas,16
bearing,16
ended,16
ignorance,16
line,16
l'envoy,16
furnish,16
image,16
bottle,16
appetite,16
commit,16
willing,16
cap,16
dishonour,16
regard,16
sickness,16
whip,16
slept,16
difference,15
antenor,15
disguised,15
satisfaction,15
stolen,15
twain,15
garment,15
kingdom,15
drew,15
belmont,15
afternoon,15
intend,15
rose,15
conceive,15
husbands,15
shapes,15
forester,15
ceres,15
space,15
shot,15
confirm,15
clouds,15
wore,15
morn,15
glorious,15
wretched,15
dowry,15
'no,15
orsino,15
disgrace,15
looking,15
blest,15
pour,15
behalf,15
shoulders,15
belly,15
wisely,15
mart,15
theme,15
emperor,15
whoreson,15
beauteous,15
knaves,15
accuse,15
conference,15
resolve,15
desperate,15
softly,15
term,15
verses,15
wrongs,15
blue,15
human,15
freedom,15
enemies,15
speak'st,15
henceforth,15
profess,15
wing,15
led,15
flood,15
lip,15
bride,15
contract,15
direct,15
praised,15
converse,15
bounty,15
familiar,15
