N-gramm,Count
fool and,20
less than,20
with child,20
him be,20
read it,20
them i,20
a one,20
you from,20
why what,20
thou liest,20
that there,20
there and,20
your fair,20
the sweet,20
thou that,20
not how,20
into my,20
to marry,20
viola stage,20
you there,20
at it,20
is her,20
say what,20
one word,20
will give,20
outlaw one,20
but they,20
patroclus thersites,20
honest man,20
clown shepherd,20
prove a,20
are no,20
you how,20
before i,20
scene six,20
and these,20
than my,20
the of,20
come your,20
think the,20
i i,20
ay my,20
dir imogen,20
in faith,20
more and,20
up in,20
twosix i,20
art not,20
it had,20
it seems,20
dead and,20
dogberry verges,20
this to,20
power to,20
your ways,20
shall make,20
the whole,20
him of,20
was never,20
what that,20
one to,20
at her,20
dir o,20
to meet,20
yet you,20
it must,20
from thy,19
three a,19
julia proteus,19
with one,19
i found,19
where we,19
the fashion,19
according to,19
onetwo i,19
thy tongue,19
hortensio petruchio,19
a child,19
to leave,19
fivenine i,19
much more,19
troilus ulysses,19
it well,19
name and,19
dir petruchio,19
lucio stage,19
quoth he,19
pericles stage,19
than he,19
come from,19
dromio of,19
thou hadst,19
me is,19
there will,19
say is,19
thy name,19
seventwo i,19
and did,19
one gentleman,19
you walk,19
how she,19
leonato antonio,19
your mind,19
my leave,19
bertram lord,19
a true,19
ulysses troilus,19
claudio isabella,19
not now,19
and like,19
to kill,19
berowne dumaine,19
see your,19
up your,19
good to,19
is with,19
save you,19
dir falstaff,19
who hath,19
all one,19
julia stage,19
and some,19
pericles fisherman,19
dir achilles,19
prince of,19
nine i,19
a young,19
begin to,19
page evans,19
he have,19
not as,19
sir in,19
orlando stage,19
lysander hermia,19
no not,19
berowne longaville,19
in one,19
upon our,19
for so,19
wouldst thou,19
the last,19
place and,19
arviragus guiderius,19
find him,19
the shepherd,19
there i,19
any thing,19
know your,19
sixeight i,19
well that,19
make thee,19
viola duke,19
without the,19
glad to,19
thou wouldst,19
now good,19
o thou,19
who comes,19
dir thersites,19
see this,19
hermia lysander,19
know of,19
ten i,19
for an,19
and down,19
shall do,19
of yours,19
a lover,19
so sir,19
them in,19
lady i,19
me go,19
we see,19
that way,19
time of,19
hermione leontes,19
shall hear,19
fivezero i,19
that with,19
do but,19
dir pericles,19
dir lord,19
at sea,19
know her,19
costard stage,19
why do,19
a time,19
to woo,19
lucentio tranio,19
unless you,19
down the,19
within the,19
biondello stage,19
polixenes camillo,19
petruchio baptista,19
which we,19
from you,19
ajax thersites,19
in any,19
knows not,19
your hands,19
ulysses stage,19
how does,18
be more,18
bertram king,18
the manner,18
we would,18
all your,18
manner of,18
well you,18
cymbeline imogen,18
yet for,18
pericles simonides,18
than that,18
lord the,18
my child,18
king stage,18
me thou,18
item she,18
i bear,18
page slender,18
it stage,18
ninefive i,18
shall go,18
a more,18
have spoke,18
way of,18
alas poor,18
you is,18
she were,18
a pair,18
me well,18
comes here,18
letter to,18
three thousand,18
you please,18
pericles marina,18
where he,18
not he,18
mine i,18
saw him,18
worse than,18
he may,18
gaoler one,18
with some,18
before me,18
we had,18
he in,18
away the,18
time and,18
i show,18
from our,18
in heaven,18
gave me,18
make your,18
i perceive,18
hath he,18
do beseech,18
or the,18
make us,18
a sweet,18
shepherd clown,18
let your,18
costard berowne,18
florizel camillo,18
have them,18
malvolio stage,18
others stage,18
of time,18
street stage,18
as this,18
borachio don,18
not one,18
while i,18
my sword,18
that and,18
that by,18
two gentleman,18
the death,18
one thing,18
thou a,18
heart of,18
your servant,18
know me,18
home to,18
at thy,18
god save,18
fourtwo i,18
then is,18
ha ha,18
was he,18
are so,18
best to,18
would make,18
love as,18
the doctor,18
lord that,18
these two,18
heart to,18
he knows,18
camillo leontes,18
a friend,18
truth of,18
see my,18
some other,18
i that,18
till now,18
a present,18
it up,18
parolles lord,18
to lose,18
though he,18
i doubt,18
all men,18
a beggar,18
home and,18
every man,18
that good,18
malvolio belch,18
troth i,18
his father,18
dir he,18
watch two,18
your lord,18
death and,18
lucentio stage,18
why is,18
his hand,18
like one,18
are like,18
of great,18
me then,18
him well,18
diomedes cressida,18
master doctor,18
petruchio grumio,18
from whence,18
me he,18
but your,18
this hour,18
by all,18
all in,18
his love,18
antonio gonzalo,17
made to,17
his honour,17
am so,17
a knave,17
this for,17
man to,17
up to,17
think so,17
one in,17
fool to,17
